          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.2818,                 1.1851,                 1.7879,                0.68292,                0.68421,                0.67115,                0.40809,                 1.3687,                  1.611,                 1.8728,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2988,                 1.1356,                 1.7793,                0.80708,                0.88073,                 0.8985,                 0.6766,                0.96075,                 1.1093,                 1.5172,               0.001307,               0.001307,               0.001307
                     72,                 1.3602,                 1.2332,                 1.8644,                0.79966,                0.85789,                0.89338,                0.58908,                  1.044,                 1.2043,                 1.5464,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.3976,                 1.2349,                 1.8818,                0.72921,                0.76842,                0.76994,                0.46615,                 1.2892,                 1.6887,                 1.7479,              0.0012872,              0.0012872,              0.0012872
                     74,                    1.4,                 1.2549,                 1.8845,                0.76338,                 0.9169,                0.92637,                0.67747,                 0.9714,                  1.312,                 1.5214,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.3387,                 1.2608,                 1.8322,                0.76113,                0.85789,                0.86246,                0.62801,                0.93692,                 1.2572,                 1.4611,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.3122,                 1.2132,                 1.8189,                 0.7066,                0.73519,                0.72268,                0.36259,                 1.4833,                 1.9801,                 1.9706,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.4026,                 1.2106,                 1.8606,                 0.7993,                0.89474,                 0.9268,                0.68381,                0.94274,                 1.0715,                 1.4398,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2791,                 1.1571,                 1.7643,                0.87181,                0.78746,                 0.9226,                0.64345,                 0.9827,                 1.0978,                  1.536,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.3371,                 1.1861,                 1.8154,                0.82378,                0.88572,                0.93818,                0.72268,                0.92018,                 1.0193,                 1.3698,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.3439,                  1.175,                 1.8541,                0.84454,                0.77202,                0.87968,                 0.6264,                0.99022,                 1.4202,                 1.5248,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2294,                 1.1024,                 1.7532,                0.79645,                0.83684,                0.88936,                0.68916,                0.81847,                 1.2079,                 1.3455,               0.001208,               0.001208,               0.001208
                     82,                 1.2858,                 1.1452,                 1.7768,                0.83164,                0.85263,                0.89475,                0.63839,                0.96052,                 1.2207,                 1.4959,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2188,                 1.1194,                 1.7436,                0.90322,                0.85789,                0.96041,                0.74544,                 0.8508,                0.83866,                 1.3583,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2697,                 1.1504,                 1.7663,                0.82628,                0.92632,                0.94664,                0.71142,                0.92123,                0.91706,                 1.4353,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.2127,                 1.0665,                 1.7269,                0.74478,                0.92105,                0.90746,                0.66475,                0.97579,                0.99252,                 1.4757,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.2266,                 1.1023,                 1.7226,                0.56519,                0.69784,                0.56152,                0.31396,                 1.3787,                 1.7277,                 1.8479,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2749,                 1.1627,                 1.7966,                0.79116,                0.92105,                0.88158,                0.67342,                0.86148,                0.99396,                 1.3885,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.2322,                 1.1039,                 1.7415,                0.64479,                0.75789,                0.70882,                0.41783,                 1.3088,                 1.8385,                 1.8456,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2335,                 1.0837,                 1.7235,                0.88779,                0.94737,                0.96992,                0.80624,                0.71445,                0.79262,                  1.239,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2007,                 1.0711,                 1.6809,                0.83044,                    0.9,                0.94206,                0.77983,                0.70253,                0.79323,                 1.2373,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1494,                 1.0434,                 1.6486,                0.81126,                0.88421,                0.89228,                0.69653,                0.86367,                 1.0053,                 1.3365,               0.001109,               0.001109,               0.001109
                     92,                  1.237,                  1.128,                 1.7433,                0.84157,                 0.9226,                0.95219,                0.76727,                0.82976,                0.93849,                 1.2854,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.2419,                 1.1172,                 1.7114,                0.82623,                0.95095,                0.93402,                0.75419,                0.77199,                0.89374,                 1.2881,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1416,                 1.0371,                 1.6423,                0.85391,                0.92294,                0.93458,                0.77839,                0.71712,                0.82259,                 1.2325,              0.0010793,              0.0010793,              0.0010793
                     95,                  1.108,                 1.0111,                 1.6457,                0.86898,                0.91053,                0.94377,                 0.7445,                0.82907,                 0.9046,                 1.3434,              0.0010694,              0.0010694,              0.0010694
                     96,                  1.165,                 1.0371,                 1.6598,                 0.9342,                0.89677,                0.97166,                0.79779,                0.74972,                0.74309,                 1.2652,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.1337,                 1.0254,                 1.6362,                0.82948,                0.90526,                0.93937,                0.72823,                0.86704,                0.97593,                 1.3494,              0.0010496,              0.0010496,              0.0010496
                     98,                  1.146,                  1.027,                 1.6644,                0.86649,                0.92632,                 0.9419,                0.75264,                0.77378,                0.92497,                 1.3042,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1679,                0.98177,                 1.6537,                 0.8617,                 0.9182,                0.94447,                0.74595,                0.78481,                0.88914,                 1.2708,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.0943,                 1.0008,                 1.6021,                0.77138,                0.94119,                0.89996,                0.71969,                0.76721,                0.94539,                 1.2403,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.1276,                 1.0159,                 1.6024,                0.79799,                0.86842,                0.88318,                 0.6677,                0.86037,                 1.1189,                 1.4018,                0.00101,                0.00101,                0.00101
                    102,                 1.1247,                 1.0139,                 1.6394,                0.91793,                0.94186,                0.97239,                0.77812,                0.79511,                0.78324,                 1.2753,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.1983,                 1.0313,                 1.7037,                0.91411,                0.95221,                0.96995,                0.79813,                0.68123,                0.78362,                 1.2084,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.0565,                0.95901,                   1.58,                 0.8551,                    0.9,                0.94474,                0.75306,                0.70921,                0.83674,                  1.216,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0444,                0.96456,                 1.5803,                0.84671,                0.93027,                0.94706,                0.75659,                 0.7085,                0.83452,                 1.2457,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.1337,                 1.0554,                 1.6482,                0.89561,                0.94826,                0.97387,                  0.805,                0.68655,                0.73214,                 1.2127,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.0603,                0.92782,                 1.6063,                0.90743,                0.96842,                0.97144,                0.81621,                0.67532,                 0.6838,                 1.2023,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.0338,                0.95931,                 1.5693,                0.87822,                0.94891,                0.96242,                0.79779,                0.70132,                 0.7172,                  1.233,              0.0009407,              0.0009407,              0.0009407
                    109,                  1.104,                0.94829,                 1.6287,                0.89117,                0.87368,                0.92803,                0.74215,                0.77928,                0.85895,                 1.2954,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.0562,                0.95682,                 1.5676,                0.75347,                0.88947,                 0.8607,                0.70505,                0.68507,                0.95424,                 1.2317,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.0231,                0.93787,                 1.5543,                0.84128,                0.94847,                0.95741,                0.79113,                0.68332,                0.78811,                 1.1927,               0.000911,               0.000911,               0.000911
                    112,                 1.0309,                0.90842,                 1.5446,                0.89349,                0.97368,                0.97377,                0.81894,                0.63462,                0.74229,                 1.1486,              0.0009011,              0.0009011,              0.0009011
                    113,                0.99847,                0.89986,                 1.5245,                0.88752,                0.93158,                0.96666,                0.78881,                0.68971,                0.84029,                 1.1841,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.0389,                0.96324,                 1.5553,                0.86928,                0.87501,                0.93873,                0.75455,                0.74528,                 1.0217,                 1.2341,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.0287,                0.95474,                 1.5611,                0.89281,                0.92063,                0.96355,                0.79854,                0.70296,                0.71925,                 1.1529,              0.0008714,              0.0008714,              0.0008714
